x,y,class
1.6184,1.4482,1
1.2737,1.3612,1
1.6185,11.929,1
2.0323,11.984,1
1.6446,8.4774,1
2.1033,4.1864,1
3.3072,4.2142,1
1.8162,7.8028,1
1.2071,0.8233,1
0.84825,1.5613,1
2.7299,4.1427,1
1.5809,11.472,1
1.2322,1.4124,1
2.9274,4.8382,1
1.3766,0.82582,1
2.9177,5.0032,1
2.3991,9.6978,1
2.6276,4.3556,1
1.6742,7.72,1
1.4989,8.8799,1
3.1291,4.6199,1
0.95797,1.2277,1
2.081,10.695,1
2.5994,4.6857,1
2.8532,9.6612,1
0.89849,8.6149,1
2.3186,10.851,1
1.381,0.94079,1
0.92698,1.3505,1
2.8304,11.41,1
2.5229,4.8959,1
1.8641,10.602,1
1.7562,10.664,1
1.3854,8.3079,1
2.2742,4.6572,1
1.6083,1.2974,1
1.8851,7.9713,1
3.1056,11.506,1
1.0064,11.019,1
1.0098,11.563,1
1.3748,1.4522,1
2.4788,11.96,1
1.3247,7.9247,1
1.4447,1.5592,1
2.2512,4.254,1
2.0218,9.6401,1
3.2682,4.041,1
1.6148,1.0013,1
1.4507,1.5094,1
2.6713,4.7515,1
1.2097,1.4252,1
2.2593,4.173,1
2.2694,7.6603,1
1.6299,7.1308,1
1.123,1.0063,1
1.3561,8.5348,1
3.1873,5.0232,1
2.8212,4.7234,1
2.278,4.2984,1
2.1958,8.4922,1
2.9462,3.9422,1
1.3527,1.3734,1
1.1219,1.3424,1
2.9054,7.7492,1
0.74061,0.40582,1
2.4103,4.1983,1
2.226,5.4092,1
1.5563,1.462,1
1.7301,6.4265,1
3.5039,4.5125,1
2.3466,3.5818,1
1.5488,9.1432,1
1.3655,1.5176,1
1.8989,11.565,1
1.1633,11.529,1
1.7882,7.899,1
1.3129,1.7529,1
1.2602,1.5312,1
1.2884,11.648,1
2.4955,7.68,1
1.4464,10.474,1
2.3786,10.584,1
1.9469,10.229,1
2.0646,7.5838,1
1.9788,8.4169,1
1.1975,1.3452,1
2.6058,4.3352,1
3.2634,4.5185,1
2.2589,5.2007,1
2.2811,4.689,1
1.0375,7.8293,1
2.9279,4.9695,1
1.3133,8.1842,1
1.18,1.2553,1
2.2168,4.4411,1
3.4152,4.1258,1
2.1682,5.204,1
1.6187,1.4987,1
0.78779,1.7416,1
1.061,0.86718,1
3.6151,8.1952,-1
4.3575,8.1181,-1
2.6665,0.56998,-1
3.6478,8.06,-1
0.92844,2.9381,-1
2.9423,8.3617,-1
3.3961,7.9436,-1
3.4195,7.3216,-1
2.9652,7.4667,-1
4.1162,8.2703,-1
4.8474,8.3532,-1
2.0706,-0.32535,-1
1.1867,1.62,-1
3.8286,7.6749,-1
2.8551,0.17672,-1
3.0346,-0.06353,-1
1.1455,3.3984,-1
3.3306,-0.12109,-1
1.3194,2.3186,-1
2.7623,0.24206,-1
3.6744,8.0713,-1
4.0192,7.6579,-1
1.0086,3.5907,-1
2.4326,-0.15731,-1
0.57721,2.7073,-1
4.2173,7.7113,-1
4.1887,7.6038,-1
3.151,-0.0098798,-1
4.4262,9.1943,-1
1.4458,3.3463,-1
1.3623,2.6112,-1
0.83722,2.5779,-1
3.1162,0.27275,-1
3.4333,7.8945,-1
3.2881,8.1679,-1
4.5307,7.5907,-1
2.4686,8.3816,-1
5.7565,8.2936,-1
2.8444,0.089822,-1
4.5256,9.1434,-1
1.9319,2.6627,-1
2.7555,0.0779,-1
3.532,8.6341,-1
1.3224,3.4463,-1
1.1634,3.4885,-1
0.40084,3.5651,-1
3.1683,7.4243,-1
2.7658,-0.46003,-1
2.8975,0.17248,-1
1.8405,2.5691,-1
