t,hu,xi
0.01,-58,426
0.02,-36,422
0.03,-51,400
0.04,-35,389
0.05,-27,406
0.06,-43,385
0.07,-34,369
0.08,-42,350
0.09,-26,328
0.1,-28,320
0.11,-29,317
0.12,-34,305
0.13,-35,307
0.14,-42,293
0.15,-47,262
0.16,-35,261
0.17,-19,253
0.18,-29,246
0.19,-667,209
0.2,-1604,279
0.21,-1597,732
0.22,-1584,801
0.23,-1561,754
0.24,-1561,739
0.25,-1536,692
0.26,-1531,656
0.27,-1517,607
0.28,-1495,577
0.29,-1467,534
0.3,-1448,514
0.31,-1434,497
0.32,-1427,460
0.33,-1410,441
0.34,-1386,416
0.35,-1359,411
0.36,-1354,390
0.37,-1319,375
0.38,-1297,355
0.39,-1282,337
0.4,-1256,319
0.41,-1231,320
0.42,-1216,291
0.43,-1207,291
0.44,-1174,274
0.45,-1155,281
0.46,-1133,254
0.47,-1120,257
0.48,-1099,241
0.49,-1072,244
0.5,-1072,142
0.51,-1017,142
0.52,-1003,214
0.53,-978,215
0.54,-940,215
0.55,-927,206
0.56,-893,212
0.57,-881,203
0.58,-850,194
0.59,-819,196
0.6,-799,202
0.61,-771,196
0.62,-752,202
0.63,-705,195
0.64,-684,197
0.65,-660,184
0.66,-650,191
0.67,-627,183
0.68,-600,191
0.69,-572,177
0.7,-558,184
0.71,-539,183
0.72,-507,180
0.73,-485,177
0.74,-467,166
0.75,-433,164
0.76,-420,164
0.77,-399,157
0.78,-385,153
0.79,-371,152
0.8,-344,146
0.81,-328,141
0.82,-306,135
0.83,-291,142
0.84,-266,130
0.85,-265,127
0.86,-235,117
0.87,-238,121
0.88,-219,102
0.89,-213,104
0.9,-185,89
0.91,-172,98
0.92,-169,101
0.93,-157,90
0.94,-144,84
0.95,-135,86
0.96,-128,86
0.97,-122,82
0.98,-114,80
0.99,-109,77
1,-100,67
1.01,-101,63
1.02,-85,56
1.03,-66,61
1.04,-76,82
1.05,-64,74
1.06,-62,73
1.07,-57,59
1.08,-64,68
1.09,-53,58
1.1,-53,56
1.11,-45,57
1.12,-53,62
1.13,-52,52
1.14,-49,48
1.15,-46,50
1.16,-48,52
1.17,-43,48
1.18,-43,51
1.19,-43,47
1.2,-41,46
1.21,-41,47
1.22,-40,42
1.23,-38,42
1.24,-31,43
1.25,-38,48
1.26,-27,44
1.27,-36,52
1.28,-29,43
1.29,-32,48
1.3,-28,41
1.31,-39,51
1.32,-31,39
1.33,-34,44
1.34,-27,40
1.35,-33,44
1.36,-33,38
1.37,-34,40
1.38,-33,40
1.39,-32,38
1.4,-32,41
1.41,-34,37
1.42,-31,42
1.43,-33,39
1.44,-34,38
1.45,-31,39
1.46,-34,38
1.47,-29,40
1.48,-40,54
1.49,-36,48
1.5,-52,59
1.51,-56,60
1.52,-85,80
1.53,-101,91
1.54,-140,137
1.55,-169,188
1.56,-235,265
1.57,-282,321
1.58,-330,389
1.59,-263,444
1.6,-31,510
1.61,-30,414
1.62,-27,417
1.63,-27,443
1.64,-25,474
1.65,-25,499
1.66,-20,523
1.67,-33,543
1.68,-20,580
1.69,-36,612
1.7,-29,625
1.71,-39,640
1.72,-27,667
1.73,-38,693
1.74,-40,709
1.75,-36,722
1.76,-37,716
1.77,-53,727
1.78,-42,711
1.79,-51,686
1.8,-49,684
1.81,-36,711
1.82,-52,694
1.83,-46,686
1.84,-56,662
1.85,-47,654
1.86,-43,647
1.87,-62,647
1.88,-40,632
1.89,-28,613
1.9,-46,607
1.91,-48,597
1.92,-59,576
1.93,-44,545
1.94,-54,538
1.95,-36,532
1.96,-45,521
1.97,-20,488
1.98,-45,494
1.99,-34,468
2,-36,458
2.01,-40,450
2.02,-38,437
2.03,-47,416
2.04,-43,399
2.05,-39,394
2.06,-51,371
2.07,-49,350
2.08,-46,330
2.09,-55,322
2.1,-29,315
2.11,-45,306
2.12,-26,297
2.13,-42,298
2.14,-36,291
2.15,-36,280
2.16,-28,268
2.17,-45,266
2.18,-42,244
2.19,-675,253
2.2,-1588,280
2.21,-1628,740
2.22,-1602,781
2.23,-1584,740
2.24,-1559,698
2.25,-1547,661
2.26,-1530,641
2.27,-1510,605
2.28,-1487,561
2.29,-1484,535
2.3,-1450,509
