X,Y,class
-2.8104,-4.5296,1
1.7886,1.793,-1
4.3469,-1.165,1
0.19416,3.3097,-1
-4.6543,-4.4654,1
0.297,1.7115,-1
-4.923,-1.1658,-1
-4.3316,-0.82514,-1
1.8677,0.88977,-1
4.3044,3.4617,1
0.26929,-4.0804,1
1.5392,-0.84001,1
2.0119,4.1032,-1
2.622,-2.3755,1
-4.5254,2.3608,-1
-1.7177,1.3264,-1
2.5641,4.9104,-1
-1.3466,-2.5296,1
4.8255,2.2266,1
2.5336,1.5152,-1
-4.2731,1.3163,-1
3.8471,-2.2729,1
-0.63589,2.6649,-1
-0.22268,-2.6223,1
-2.2509,-1.4074,1
-3.3349,-0.13483,-1
3.9766,4.0921,1
-4.3944,4.0465,-1
0.045229,0.16292,-1
-1.8097,4.8664,-1
-0.060233,-2.3386,1
-4.0927,4.4776,-1
-4.2625,0.0070709,-1
-1.1586,-2.2292,1
4.1382,0.29747,1
-0.35554,4.4098,-1
-4.4992,2.6151,-1
2.702,3.2782,-1
-3.7463,-4.8413,1
1.8846,3.6825,-1
1.2954,2.3622,-1
2.2541,4.9946,-1
3.8857,-2.6681,1
-1.9368,-1.4898,1
0.13274,0.91114,-1
3.4598,-0.87919,1
3.4151,-2.3068,1
-0.84605,0.37304,-1
-0.32083,-2.1279,1
-3.2167,-3.4628,1
0.71655,3.0241,-1
-4.6695,0.3445,-1
-0.015199,4.5536,-1
2.4829,0.54584,1
3.9074,1.2485,1
3.4204,-3.4023,1
-2.8725,2.1471,-1
-3.6957,-4.0901,1
-2.2541,-4.97,1
-0.85707,-4.7312,1
2.0982,4.379,-1
-2.6009,-3.191,1
-1.8246,3.8699,-1
1.5206,-3.4966,1
1.8135,-1.1419,1
-1.1227,-0.0025897,-1
-3.5247,0.87187,-1
3.4558,0.90109,1
4.5541,0.56146,1
-3.5185,4.8331,-1
-0.91233,-3.5818,1
0.64899,-2.4787,1
-0.11485,-0.35969,1
4.611,-3.7397,1
-3.0024,-1.8075,1
1.2927,-3.7329,1
1.5125,1.2163,-1
3.0307,-2.5216,1
-0.23568,-1.1069,1
-2.9675,-4.7162,1
4.0167,-0.73503,1
-3.5798,4.4749,-1
-0.89687,-3.6881,1
3.8565,-4.0783,1
-3.378,-4.2894,1
-1.3466,-2.4694,1
-3.6489,2.8315,-1
-0.44693,-1.5048,1
-0.477,3.0894,-1
4.3167,1.5165,1
-2.8475,1.7959,-1
4.0892,-2.4987,1
3.6086,-0.28738,1
0.059559,1.0039,-1
3.1756,2.5584,-1
-0.37755,4.5137,-1
1.3274,-0.6067,1
3.247,1.8898,1
2.0221,4.8715,-1
4.5441,3.5127,1
-2.1068,0.37426,-1
0.14435,-3.9657,1
-0.85972,0.76717,-1
3.7657,-0.59961,1
2.2975,3.6926,-1
2.1564,3.0072,-1
2.0654,2.4172,-1
-4.8091,3.8603,-1
0.24987,-0.36677,1
-4.3481,2.1342,-1
-0.11057,1.6768,-1
1.8205,-3.0045,1
4.1663,3.6588,1
3.9002,0.43948,1
-3.6081,-0.49653,-1
4.8936,-2.8447,1
-0.53977,-1.8427,1
0.14659,3.815,-1
-0.60274,-0.32468,1
3.0665,-1.3484,1
-2.8848,4.9912,-1
-3.464,1.3049,-1
1.1635,-4.994,1
-4.9912,2.7335,-1
2.2733,-1.8082,1
-0.82276,1.8249,-1
1.8056,-2.9474,1
3.3642,2.0892,1
3.2871,-4.0545,1
-4.1826,2.64,-1
1.2957,-2.8615,1
-2.8645,-4.1894,1
-1.1118,4.5216,-1
4.4755,-1.1015,1
-2.3079,1.9217,-1
-2.1596,2.7687,-1
2.8387,-0.7754,1
-2.1784,-3.0603,1
-4.8868,-3.0818,-1
4.8324,-2.5595,1
3.1973,-3.6355,1
-1.0186,1.0101,-1
-3.2312,3.2835,-1
-3.4227,4.8794,-1
-2.4283,-2.664,1
-3.9836,-2.8059,1
1.3472,1.9601,-1
2.9477,1.9624,-1
2.5294,1.6952,-1
1.3343,-4.4356,1
